"id","var","med","lo","hi","t_med","t_lo","t_hi","p_med","p_lo","p_hi"
"LG_trend","(Intercept)",-0.0198250023155541,-0.0297552675900678,-0.0109281121807698,-2.45180867185971,-3.75784997479312,-1.27357475127558,0.0207111596299843,0.000801254662609902,0.213285656040395
"LG_trend","LG_trend",0.418559094477584,0.0209237503660401,0.919611683831649,2.15050402710306,0.131883600484799,4.52687915915973,0.0402947278442728,0.000100985215771937,0.768066144072136
"additive","(Intercept)",-0.0250178991266814,-0.0395576102849853,-0.0133722285860363,-2.93303205358364,-4.82552445112484,-1.41978787263826,0.00676638096214888,4.87115447383613e-05,0.167116005610988
"additive","LG_trend",0.426477255339928,0.0306448221944255,0.936942609444553,2.26131490576456,0.159435857806037,4.68912735809187,0.0320044805492953,7.0235173559835e-05,0.735635398340768
"additive","lg_sim",0.0357060728243685,-0.00359135045778168,0.0898689639921337,1.60503972313291,-0.265839131177076,3.57446561554027,0.120119738702846,0.00134815489043044,0.895265717441012
"annual_plast","(Intercept)",-0.0117616509170609,-0.0204240980255831,-0.00388714130900146,-1.46621297226635,-2.90067687555751,-0.400607248251492,0.153733054384018,0.00717121178713487,0.691750436563378
"annual_plast","annual_plast",-0.00362540742943384,-0.0217605069442945,0.0113231487510842,-0.365309562662397,-1.9882735056339,1.22020077271538,0.538421923155391,0.0511708595607697,0.973171200432026
"interaction","(Intercept)",-0.0242261994174254,-0.0374214076389155,-0.0122159791818553,-2.76841913067143,-4.64708872523483,-1.29213191942071,0.0102459396528629,8.5330685179319e-05,0.207686296788496
"interaction","LG_trend",0.302153706054043,-0.116866966359868,0.870570107049564,1.33409650685446,-0.501697661629588,3.67386464130874,0.189773522114722,0.00108937602559017,0.927300966162941
"interaction","LG_trend:lg_sim",0.853440462783395,-0.984102133987113,2.83712162416866,1.18322636809705,-1.25805624466717,3.75281621704838,0.223506676190038,0.00088784787695233,0.936004615706762
"interaction","lg_sim",0.0311059790871588,-0.0128839409307343,0.0791474222029362,1.25501843945205,-0.545059955995444,3.17011797666154,0.212610196085124,0.0038801315759739,0.946109319120244
"lg_sim","(Intercept)",-0.016790962924689,-0.0297303208506125,-0.0065256969895385,-1.88840452965318,-3.69875147447881,-0.609693350815098,0.0693730867728514,0.000936639478651713,0.54698127262784
"lg_sim","lg_sim",0.0333620148727353,-0.00396792684838923,0.0845613226506604,1.41815084683851,-0.216244370911792,3.14599482664641,0.167181166930091,0.00390286735822851,0.901026661599653
"local_adapt","(Intercept)",-0.0152827858965501,-0.0259036986772705,-0.00377618033409609,-1.74979493092756,-2.93271515657841,-0.423531861941595,0.0911074559564877,0.00663018514186061,0.668188395040728
"local_adapt","local_adapt",-0.00284024108236081,-0.0118641140688594,0.00560959210834687,-0.764738531884937,-3.30868920036498,1.46350704814898,0.345131764890727,0.00258518020113089,0.964905112640068
"zlastspec","(Intercept)",-0.00279722836767924,-0.0132931155291776,0.00642197402187984,-0.265508612366539,-1.29977265417005,0.569263964461129,0.731830101812897,0.204278692230913,0.987263085495001
"zlastspec","zlastspec",0.00657952339511914,0.00268941891612457,0.0103852886826603,1.27778847388464,0.550618553193247,2.27673134735952,0.211816778764206,0.0306439449680873,0.586261876354744
"zordspec","(Intercept)",-0.00996195657708971,-0.0210731215541476,0.00029322084014482,-1.04428285661657,-2.56111049835699,0.0268565214764555,0.305286971036213,0.0161127472164824,0.928003162090093
"zordspec","zordspec",0.00360750143884065,-0.00527905989117667,0.0121700341715915,0.456748086527866,-0.789096085023847,1.40423751646579,0.59484366764264,0.165125084047369,0.974620751877022
