"id","var","med","lo","hi","t_med","t_lo","t_hi","p_med","p_lo","p_hi"
"LG_trend","(Intercept)",-0.0200190191807323,-0.0305840617593031,-0.0114700879322762,-2.50767882658199,-3.85355634432064,-1.36198180783179,0.0182265536134167,0.000621441642521448,0.184064661509027
"LG_trend","LG_trend",0.444049378126351,0.0354060926899246,0.925466882836923,2.36154228069624,0.211840733761111,4.52462753244701,0.0253905885445227,0.000101757631037602,0.699125535882923
"additive","(Intercept)",-0.0268533235041667,-0.0410370906644001,-0.0149491558684709,-3.07001299943834,-4.67144302099325,-1.68375793154132,0.00483615223509948,7.36518200423752e-05,0.103757076745578
"additive","LG_trend",0.441465974720329,0.027086597556317,0.914954444491266,2.44596849021062,0.161831685324036,4.69496558437542,0.0212455523104903,6.91407852819181e-05,0.705434654701924
"additive","lg_sim",0.0376908170197827,0.00368296532068575,0.0788280016281541,1.59786596132281,0.142442925402257,3.26418653495963,0.121711632547808,0.00297822050846355,0.841942289775641
"annual_plast","(Intercept)",-0.0111875149055128,-0.019428381178511,-0.00369894562250842,-1.40299268964511,-2.75972080359041,-0.376383293175358,0.171611186129116,0.0100854577854121,0.709510220313915
"annual_plast","annual_plast",-0.00391064972150052,-0.0215396716004638,0.0104063918128091,-0.405999018179072,-1.99757728846751,1.0730142152665,0.56028830806101,0.0500216625070167,0.973415195567626
"interaction","(Intercept)",-0.0241002905619898,-0.0366807101337778,-0.012952355242438,-2.72034889471812,-4.43421679407959,-1.30116857018589,0.0114714779488143,0.000149627935005603,0.204617878122463
"interaction","LG_trend",0.239666070085128,-0.178631535856141,0.769863090838265,1.09543360288857,-0.743494656352597,3.51746735183916,0.276143094378772,0.00162254747987087,0.941605407355034
"interaction","LG_trend:lg_sim",0.936011300416751,-0.611180879159781,2.56980881146418,1.49011253574946,-0.949004510865892,4.00238612700419,0.144297798442436,0.000464671845188436,0.899154518755169
"interaction","lg_sim",0.0253721795197023,-0.0211885588463089,0.0659357318402995,1.05651437900706,-0.797825002427458,2.96716623974607,0.297966871831181,0.0063728510218098,0.959898790541433
"lg_sim","(Intercept)",-0.0182938481856916,-0.0314906628009538,-0.00852395463491458,-2.02038516729926,-3.40413468230804,-0.713201044220106,0.0530024070808484,0.0020208736675608,0.481624936701054
"lg_sim","lg_sim",0.038553270211304,0.00481431383153726,0.0818158541010692,1.55899491058183,0.164831728727707,3.14459488004272,0.130230260859621,0.00391648655125133,0.817646679656003
"local_adapt","(Intercept)",-0.0149326543543251,-0.0269997425124585,-0.000653458917555417,-1.64968988104269,-3.17401243391849,-0.0779501140080003,0.110181987805473,0.00363631815851175,0.832722633401393
"local_adapt","local_adapt",-0.00288865878481985,-0.0138132846535115,0.00846821481833932,-0.690044969378925,-3.45952030753945,1.78111968579239,0.328461178092994,0.00158914107481214,0.956082227001043
"zlastspec","(Intercept)",-0.00218370912503786,-0.0120849942593563,0.00645901652541665,-0.200513884115533,-1.20547036143322,0.594022259372379,0.7435711178205,0.238111109248854,0.980861959894458
"zlastspec","zlastspec",0.00674220234418752,0.00313620601511135,0.0108658904540739,1.32077539178977,0.602157611863062,2.33102810801608,0.197270053579818,0.0271798196900672,0.551929486802564
"zordspec","(Intercept)",-0.00947173796841143,-0.0196554344129775,0.000313818644233881,-0.983120917280544,-2.4874687073438,0.0287806460124073,0.333967225088664,0.0190970123618295,0.930185630728867
"zordspec","zordspec",0.00366090334166327,-0.00505336820123266,0.0132421840705086,0.475269254204417,-0.696739336327396,1.43362587761961,0.593137103259019,0.162754164294363,0.976049188177571
